pipeline,resource,pattern,value
central-activities-zone,,WKT,geometry
central-activities-zone,,TITLE,name
central-activities-zone,b7cd7941c1c8aee51465cbab3a72a81f42ba9393ee7c43ed142b5a278810c4e4,OBJECTID,central-activities-zone
central-activities-zone,,layerreference,central-activities-zone
central-activities-zone,,Designatio,central-activities-zone
central-activities-zone,,POLICY,geography
central-activities-zone,,borough,name
central-activities-zone,,notes,notes
central-activities-zone,,NSP_Policy,notes
central-activities-zone,,firstaddeddate,start-date
central-activities-zone,,lastupdateddate,entry-date
central-activities-zone,,removeddate,end-date
