pipeline,resource,organisation,value,entity
central-activities-zone,,,CAZ00000001,2200001
central-activities-zone,,,CAZ00000002,2200002
central-activities-zone,,,CAZ00000003,2200003
central-activities-zone,,,CAZ00000004,2200004
central-activities-zone,,,CAZ00000005,2200005
central-activities-zone,,,CAZ00000006,2200006
central-activities-zone,,,CAZ00000007,2200007
central-activities-zone,,,CAZ00000008,2200008
central-activities-zone,,,CAZ00000009,2200009
central-activities-zone,,,CAZ00000010,2200010
central-activities-zone,,,CAZ00000011,2200011
central-activities-zone,,local-authority-eng:LBH,1,2200001
central-activities-zone,,local-authority-eng:SWK,Central Activity Zone,2200002
