attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,central-activities-zone,https://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/lambethcouncil::central-activities-zone-1/about,7b4b9b400899e33b81a52c5893987827666437d1fcc8488d610d0ae77b605a31,ogl3,local-authority-eng:LBH,central-activities-zone,2021-10-29T10:10:36:13Z,2020-12-17,
,central-activity-zone,https://data.london.gov.uk/dataset/central_activities_zone,7bc8a737cf2fc696b33985d1112421cbf09eb8236192f298d971ab01808f8378,,local-authority-eng:GLA,central-activities-zone,2021-11-11T15:15:58:40Z,,
,central-activities-zone,,8e4b3785e5b478804603d297d147b073589ddc532b179edfc9cd38f166f7b364,ogl3,local-authority-eng:SWK,central-activities-zone,2021-11-30T17:17:52:59Z,,
